8411 東証1部 (株)みずほフィナンシャルグループ（銀行業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","166.6","170.9","166.5","170.6","124515100","170.6"
"2019-01-07","174","174.1","171","171.9","143772900","171.9"
"2019-01-08","172.5","174.8","172.4","172.4","143930800","172.4"
"2019-01-09","174","174.3","172.7","173.7","137029700","173.7"
"2019-01-10","173.1","174.3","172.6","173.3","140570900","173.3"
"2019-01-11","173.8","174.5","172.8","174.1","142478400","174.1"
"2019-01-15","175","176.4","174.7","174.9","155782300","174.9"
"2019-01-16","175","175.1","173.4","175","140757100","175"
"2019-01-17","176","177.1","174.7","175.3","135382600","175.3"
"2019-01-18","176.2","177.1","175.8","176.2","114402000","176.2"
"2019-01-21","177.9","178.4","177.2","177.5","110216000","177.5"
"2019-01-22","178","178","176.1","176.9","109115400","176.9"
"2019-01-23","176.5","178","176.1","176.3","113771500","176.3"
"2019-01-24","176.7","178.5","176.3","178.5","130739400","178.5"
"2019-01-25","177.9","179.4","177.9","179.1","116853000","179.1"
"2019-01-28","178.9","179.2","178","178.4","81648400","178.4"
"2019-01-29","178.5","179.1","177.5","178.8","87181400","178.8"
"2019-01-30","178.5","178.9","177.6","177.9","104309800","177.9"
"2019-01-31","179.3","180.2","179","179.4","109939600","179.4"
"2019-02-01","176","176.9","172.1","172.9","227990600","172.9"
"2019-02-04","175","175.9","174.2","174.8","108454500","174.8"
"2019-02-05","174.2","175","173.9","174.3","89904000","174.3"
"2019-02-06","175.2","175.8","174.8","174.9","104279100","174.9"
"2019-02-07","174.3","174.4","172.9","173.4","103891900","173.4"
"2019-02-08","172.1","172.3","171","171","120505600","171"
"2019-02-12","171.8","174.2","171.5","173.4","116373100","173.4"
"2019-02-13","174.5","175.2","173.9","175.1","100872400","175.1"
"2019-02-14","174.1","175.1","173.2","174.7","98851500","174.7"
"2019-02-15","173.6","173.7","172.2","173.3","115187500","173.3"
"2019-02-18","175.8","176.4","175","175.1","98206300","175.1"
"2019-02-19","175.1","176.6","174.9","176","82901100","176"
"2019-02-20","175.3","176.4","175.3","176.2","80247500","176.2"
"2019-02-21","176.4","176.6","174.6","175.5","111329200","175.5"
"2019-02-22","174.6","175.4","174.1","175.3","75227100","175.3"
"2019-02-25","176","176.1","175.2","175.5","75584200","175.5"
